variable	Lactobacillaceae	Coriobacteriaceae	Veillonellaceae	Bifidobacteriaceae	Prevotellaceae	Other
W218	0.997645592410498	0	0	3.46236410220899e-05	0	0.00231978394848002
W234	0.997619797682803	3.50029752528965e-05	7.0005950505793e-05	7.0005950505793e-05	0	0.00220518744093248
W213	0.999201998473388	6.93914370966623e-05	6.93914370966623e-05	0	0	0.000659218652418292
W206	0.998268877886646	0.00013848976906831	6.9244884534155e-05	0	0.00041546930720493	0.00110791815254648
W205	0.995850335431219	3.45805380731724e-05	0.000311224842658552	0.00013832215229269	0	0.00366553703575628
W240	0.988640692640693	0	3.46320346320346e-05	3.46320346320346e-05	0.000242424242424242	0.011047619047619
W212	0.995667488552307	0.00112715744980627	0.00140894681225784	0.000105671010919338	0.000317013032758013	0.00137372314195139
W219	0.998645127670662	0	0.000104220948410631	6.94806322737537e-05	3.47403161368768e-05	0.00114643043251694
W237	0.963062154359848	0.000313032590170777	0.0185384856178916	0.00153038155194602	6.95627978157282e-05	0.0164863830823276
W217	0.994070118250858	0.000970974789333148	0.00131775149980927	0.00117904081561882	0.000416132052571349	0.00204598259180913
W236	0.956452854103481	0.00258023629532389	0.00461726494952696	0.00144855370965552	0.00117694988909511	0.0337241410529175
W221	0.969622530533163	0.00128014392969588	0.00404802269660589	0.000449780299622877	0.0108293256755354	0.0137701968653773
W203	0.859046096456168	0.0287325694999556	0.0174527045030642	0.00639488409272582	0.0265565325517364	0.0618172128963496
W244	0.997710956196025	3.46824818784032e-05	3.46824818784032e-05	3.46824818784032e-05	3.46824818784032e-05	0.002150313876461
W242	0.984093357271095	0.00229802513464991	0.00262118491921005	0.000610412926391382	0.00175942549371634	0.00861759425493716
W202	0.963580007748934	0.00457891585361558	0.00803071395864887	0.00690359621006657	0.00281779437145574	0.0140889718572787
W243	0.565745741587038	0	0.00010386373078521	0.16348151225592	0.000380833679545769	0.270288048746711
W228	0.139832594780896	0.132636442828466	0.169526190205658	0.209900390107185	0.0615460364352536	0.286558345642541
W208	0.145234353332717	0.331607654617731	0.164001109364889	0.0289359341776833	0.159193861514283	0.171027086992697
W204	0.956944977495552	0.00101182791947245	0.00177942151355501	0.0312968842678204	0.000976937301559611	0.0079899515020411
W201	0.882800115290388	0.00497189796800692	0.00540423692174665	0.0713719556132007	0.00252197723014844	0.0329298169765096
W227	0.993036211699164	0.00104456824512535	0.00174094707520891	0.00114902506963788	0.000591922005571031	0.00243732590529248
W241	0.987302688638335	0	6.93842150910668e-05	0	0.0003122289679098	0.0123156981786644
W229	0.997750320146748	0.000242273214965563	0.000449935970650331	0.00051915688921192	0.000173052296403973	0.000865261482019866
W211	0.309444518449447	0.192087385107233	0.276208871719728	0.0408951645131211	0.0642733448781138	0.117090715332356
W209	0.996081694927009	0.00013870106453067	0.000346752661326676	3.46752661326676e-05	0.000242726862928673	0.00315544921807275
W231	0.89549394709311	0.099237782095352	0	0.00205499925272754	0	0.00321327155881034
W215	0.686001420066634	0.0531432628761811	0.119613304932001	0.0222295046152166	0.00999508438472882	0.109017423125239
W220	0.993299076453024	3.47198111242275e-05	0.000104159433372682	0	0.000208318866745365	0.00635372543573363
W214	0.904829018618797	0.0937986796231734	0.000148356946814035	0.000333803130331578	3.70892367035086e-05	0.000853052444180699
W232	0.992737808549067	0.000112883804936785	0.00575707405177604	0.00067730282962071	3.76279349789284e-05	0.00067730282962071
W238	0.383752818575172	0.189895788896337	0.243037357547687	0.0371747211895911	0.0552136022914254	0.0909257114997867
W225	0.937873621750875	0.0143913563299827	0.0194836824159766	0.00301111455519639	0.00597794801399283	0.0192622769339769
W239	0.110951230792949	0.175137468523562	0.0714322421501619	0.0217380132586464	0.242972403515083	0.377768641759597
W210	0.994345747094342	0.00132630623712959	0.00178004258141077	0.00010470838714181	0.000593347527136924	0.00184984817283864
W235	0.839349376114082	0.112410873440285	0.00144830659536542	0.0103609625668449	0	0.0364304812834225
W245	0.731179694260167	0.084511104701471	0.107008941447938	0.0655568832667189	0.00276072355680086	0.00898265276690428
W224	0.987641280236611	0.00218302172458716	0.00323932255906482	0.000105630083447766	0.000950670751029893	0.00588007464525897
W222	0.958013758203527	0	0	0.00442792757175615	0	0.0375583142247173
W207	0.994395045497007	3.45984845863751e-05	3.45984845863751e-05	0	0	0.00553575753382002
W233	0.890335148536769	0.107052729446142	0	0.00110683136317351	0	0.00150529065391597
W216	0.305355191256831	0.168233151183971	0.377194899817851	0.0499817850637523	0.000801457194899818	0.0984335154826958
