sampleID	Mobiluncus_mulieris	Mobiluncus_unclassified	Bifidobacterium_breve	Gardnerella_vaginalis	Scardovia_unclassified	Atopobium_vaginae	Prevotella_amnii	Prevotella_bivia	Prevotella_buccalis	Prevotella_timonensis	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_gasseri	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_sp_7_1_47FAA	Lactobacillus_vaginalis	Streptococcus_mitis_oralis_pneumoniae	Streptococcus_pasteurianus	Anaerococcus|s__Anaerococcus_tetradius	Clostridiales_genomosp_BVAB3	Dialister_micraerophilus	Megasphaera_genomosp_type_1	Megasphaera_unclassified	Gallionellaceae_unclassified	Ureaplasma_parvum	Ureaplasma_unclassified	Candida_albicans	Candida_unclassified	Lactobacillus_phage_Lv_1	Propionibacterium_phage_PAD20	Alphapapillomavirus_11	Alphapapillomavirus_6	unclassified
328380	0	0	0	1.22152	0	0	0	0	0	0	0	97.35757	0	0.43205	0.98885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
335608	0	0	0	5.10916	0	0.84851	0	0	0	0	0.3777	31.54313	0	60.36455	1.75694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
341330	0	0	0	0.30166	0	0	0	0	0	0	0	6.64796	0	35.01413	1.09865	56.90783	0	0	0	0	0	0	0	0	0	0.02976	0	0	0	0	0	0	0	0
311595	0	0	0	10.40037	0	10.9264	0	0	0	0	0	0	9.46857	0	69.20466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320952	0	0	0	12.63987	0	13.86095	0	0	0	0	0	0	0	0	73.49918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312444	0.03908	0.00876	0	62.54063	0	19.52542	3.00155	0	0.1002	0.03971	0	0	0	9.10638	0	0	0	0	0	0	0.07215	0.13052	1.58789	3.8477	0	0	0	0	0	0	0	0	0	0
328867	0	0	0	0	0	0	0	0	0	0	0	0	0	99.78702	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17959	0.0334	0	0	0	0	0
307975	0	0	0	0.46907	0	0	0	0	0	0	0	96.83931	0	0	2.69162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312343	0	0	0	0.10299	0	0	0	0	0	0	0	99.2163	0	0.08415	0.59656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
299967	0	0	0	0	0	0	0	0	0	0	0	93.38886	0	2.96675	3.64438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
305989	0	0	0	2.04183	0	0	0	0	0	0	0	1.61573	0	88.23009	8.11235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
311867	0	0	0	13.98762	0	0	0	0	0	0	0	0	0	72.04025	13.97213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277188	0	0	0	0	0	0	0	0	0	0	0	98.47603	0	0	1.52397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272747	0	0	0	71.38342	0	1.99913	0	0	0	0	0	0	0	0	14.37219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.24526	0	0	0	0
276844	0	0	0	83.0753	0	6.3158	0	0	0	0	0	1.6003	3.85604	0	0.03883	0	0	0	0	0	0	0	5.11373	0	0	0	0	0	0	0	0	0	0	0
282940	0	0	0	74.64294	0	4.91929	0	0	0	0	0	0	0	16.30571	0	0	0	0	0	0	0	0	4.13206	0	0	0	0	0	0	0	0	0	0	0
276877	0	0	0	1.25549	0	0	0	0	0	0	0	0	0	96.04416	2.70035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270524	0	0	0	73.38884	0	8.28636	5.52916	1.91253	0	3.00606	0	0	0	4.10484	0	0	0	0	0	3.00914	0	0.76306	0	0	0	0	0	0	0	0	0	0	0	0
276826	0	0	50.26404	0	0	0	0	0	0	0	0	0	46.87652	0	0	0	0	0	2.85945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235827	0	0	0	1.34294	0	0	0	0	0	0	0	96.59891	0	0	2.05816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267434	0	0	0	0.76255	0	0	0	0	0	0	0	98.79506	0	0	0.44239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
236256	0	0	0	0	0	0	0	0	0	0	0	0	0	99.44973	0	0.55027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251073	0	0	0	1.96226	0	0	0	0	0	0	0	0	0	96.20231	1.83543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
