OTUID	W203	W242	W237	W207	W212	W228	W239	W224	W235	W202	W232	W240	taxonomy
OTU_1	90240	89384	89809	89170	89920	89674	89898	91071	89889	85372	88928	128	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida albicans
OTU_10	0	0	0	1	68	0	0	1	0	0	0	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Davidiellaceae; g__Cladosporium
OTU_102	0	0	0	0	0	0	0	0	0	52	0	0	k__Fungi
OTU_103	253	294	272	305	252	270	264	159	255	487	358	477	k__Fungi
OTU_104	1	0	0	0	0	0	0	0	0	8	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida tropicalis
OTU_112	0	0	0	0	0	0	0	0	0	103	0	0	k__Fungi
OTU_114	237	273	287	299	231	216	251	151	264	448	327	421	k__Fungi
OTU_117	146	182	180	207	167	190	166	103	190	344	252	290	k__Fungi
OTU_118	150	205	203	205	189	191	181	121	215	318	253	307	k__Fungi
OTU_119	175	234	208	246	211	190	205	128	190	331	290	330	k__Fungi
OTU_121	0	0	0	0	0	0	0	0	0	38	0	0	k__Fungi
OTU_127	292	371	346	398	347	322	317	208	326	570	464	560	k__Fungi
OTU_130	0	1	2	1	2	3	4	3	4	0	4	76	k__Fungi; p__Ascomycota
OTU_141	0	0	0	0	0	0	0	0	0	94	0	0	k__Fungi
OTU_147	111	132	130	165	123	126	105	70	126	218	151	205	k__Fungi
OTU_148	241	290	251	315	232	225	234	145	245	390	340	428	k__Fungi
OTU_149	187	270	231	283	250	220	208	163	258	393	313	398	k__Fungi
OTU_151	123	147	155	157	127	126	120	85	146	215	192	218	k__Fungi
OTU_157	173	223	211	260	171	198	208	112	199	326	288	325	k__Fungi
OTU_16	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria alternata
OTU_161	134	169	164	171	148	166	165	92	138	300	198	260	k__Fungi
OTU_17	0	0	0	0	0	0	8	0	0	0	1	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeococcomyces; s__Phaeococcomyces sp
OTU_176	147	170	156	161	143	152	159	101	153	251	189	258	k__Fungi
OTU_180	203	239	233	275	217	230	204	117	240	402	294	404	k__Fungi
OTU_2	1	1	0	0	0	0	135	1	0	2	0	87727	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus
OTU_24	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium pullulans
OTU_25	0	0	1	0	0	0	0	3	0	30	0	0	k__Fungi
OTU_26	0	0	0	0	0	0	0	0	0	0	0	14	k__Fungi; p__Basidiomycota; c__Microbotryomycetes
OTU_29	0	0	0	56	0	0	0	0	0	24	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia globosa
OTU_3	7	0	0	0	6	0	0	0	0	848	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Candida; s__Candida parapsilosis
OTU_4	1	74	1	114	4	131	12	8	3	277	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae
OTU_41	0	0	0	0	0	0	0	0	0	99	0	0	k__Fungi
OTU_5	0	2	1	3	6	208	0	0	0	2	1	0	k__Fungi
OTU_7	0	182	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pleurotaceae; g__Pleurotus; s__Pleurotus ostreatus
OTU_8	20	0	0	53	11	0	0	0	0	697	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia restricta
OTU_88	0	0	0	0	0	0	0	0	1	0	0	11	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus
OTU_9	4	3	5	1	21	8	2	4	4	207	3	8	k__Fungi
