OTU ID	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertaesedis;g__Candida;s__Candidaalbicans	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	k__Fungi	k__Fungi	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertaesedis;g__Candida;s__Candidatropicalis	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi;p__Ascomycota	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternariaalternata	k__Fungi	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeococcomyces;s__Phaeococcomycessp	k__Fungi	k__Fungi	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidiumpullulans	k__Fungi	k__Fungi;p__Basidiomycota;c__Microbotryomycetes	k__Fungi;p__Basidiomycota;c__Incertaesedis;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malasseziaglobosa	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertaesedis;g__Candida;s__Candidaparapsilosis	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae	k__Fungi	k__Fungi	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotusostreatus	k__Fungi;p__Basidiomycota;c__Incertaesedis;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malasseziarestricta	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	k__Fungi
W203	90240	0	0	253	1	0	237	146	150	175	0	292	0	0	111	241	187	123	173	0	134	0	147	203	1	0	0	0	0	7	1	0	0	0	20	0	4
W242	89384	0	0	294	0	0	273	182	205	234	0	371	1	0	132	290	270	147	223	0	169	0	170	239	1	0	0	0	0	0	74	0	2	182	0	0	3
W237	89809	0	0	272	0	0	287	180	203	208	0	346	2	0	130	251	231	155	211	0	164	0	156	233	0	0	1	0	0	0	1	0	1	0	0	0	5
W207	89170	1	0	305	0	0	299	207	205	246	0	398	1	0	165	315	283	157	260	0	171	0	161	275	0	0	0	0	56	0	114	0	3	0	53	0	1
W212	89920	68	0	252	0	0	231	167	189	211	0	347	2	0	123	232	250	127	171	0	148	0	143	217	0	0	0	0	0	6	4	0	6	0	11	0	21
W228	89674	0	0	270	0	0	216	190	191	190	0	322	3	0	126	225	220	126	198	0	166	0	152	230	0	0	0	0	0	0	131	0	208	0	0	0	8
W239	89898	0	0	264	0	0	251	166	181	205	0	317	4	0	105	234	208	120	208	0	165	8	159	204	135	0	0	0	0	0	12	0	0	0	0	0	2
W224	91071	1	0	159	0	0	151	103	121	128	0	208	3	0	70	145	163	85	112	0	92	0	101	117	1	0	3	0	0	0	8	0	0	0	0	0	4
W235	89889	0	0	255	0	0	264	190	215	190	0	326	4	0	126	245	258	146	199	0	138	0	153	240	0	0	0	0	0	0	3	0	0	0	0	1	4
W202	85372	0	52	487	8	103	448	344	318	331	38	570	0	94	218	390	393	215	326	0	300	0	251	402	2	0	30	0	24	848	277	99	2	0	697	0	207
W232	88928	0	0	358	0	0	327	252	253	290	0	464	4	0	151	340	313	192	288	0	198	1	189	294	0	0	0	0	0	0	0	0	1	0	0	0	3
W240	128	1	0	477	0	0	421	290	307	330	0	560	76	0	205	428	398	218	325	0	260	0	258	404	87727	0	0	14	0	0	0	0	0	0	0	11	8
