Metagenome	Individual	Trimester	Mean_coverage	Pairwise_Identity	Identical_sites	Percent_ref_seq	L_crispatus_rel_abundance	Genome_group
W240	1,088	1	8.942	99.5	97.5	99.4	0.998	L_crispatus
W234	1120	1	10.562	99.5	97.6	100	0.936	L_crispatus
W227	1191	1	7.837	99.6	98	98.6	0.95	L_crispatus
W221	1,088	2	5.124	99.4	98.3	94.5	0.977	L_crispatus
W217	1191	2	8.279	99.5	97.8	99.6	0.985	L_crispatus
W210	1120	3	6.98	99.6	98.5	99.4	0.948	L_crispatus
W207	1157	1	4.511	99.6	98.8	93.9	0.971	L_crispatus
W205	1088	3	5.721	99.5	98.4	100	0.983	L_crispatus
W228	1198	1	0	0	0	0	0.0019	L_iners
W202	1222	2	1.901	99.7	99.4	70.7	0.27	L_iners
W206	1111	1	0	0	0	0	0	L_iners
W212	1180	2	0.12	99.4	99.4	8	0.032	L_iners
W218	1180	1	2.24	99.5	99.2	78.8	0.85	L_iners
W219	1062	3	4.309	0.6	99	95.7	0.374	L_iners
W220	1222	3	0.274	100	99.9	16.3	0.17	L_iners
W224	1222	1	3.594	99.5	98.5	88.2	0.914	L_iners
W228	1198	1	0	0	0	0	0.0019	L_iners
W229	1137	2	0	0	0	0	0	L_iners
W237	1198	3	0	0	0	0	0	L_iners
W239	1126	2	0	0	0	0	0	L_iners
W241	1062	2	1.254	99.6	99.5	61.7	0.998	L_iners
W208	1018	1	0.207	99.8	99.7	12.4	0.0019	G_vaginalis
W211	1018	2	0	0	0	0	0.00035	G_vaginalis
W215	1146	3	0.014	100	100	0.07	0.0111	G_vaginalis
W216	1146	2	0.427	99.7	99.4	24.5	0.0019	G_vaginalis
W222	1089	3	0	0	0	0	0	G_vaginalis
W235	1146	1	0	0	0	0	0	G_vaginalis
W236	1089	1	0.025	100	100	1.4	0	G_vaginalis
W238	1018	3	0	0	0	0	0	G_vaginalis
W214	1202	3	0	0	0	0	0	other
W231	1202	1	0	0	0	0	0	other
W243	1103	1	0	0	0	0	0	other
